gtfo_off_title;Disable 'Release Vassal' decisions;Disable 'Release Vassal' decisions;
gtfo_BLZ_desc;We've had a good run, but it's time to end our rulership of Belize: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Belize: if you love something, let it go!;
gtfo_BNG_title;Grant Bangladesh Independence;Grant Bangladesh Independence;
gtfo_BNG_desc;We've had a good run, but it's time to end our rulership of Bangladesh: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bangladesh: if you love something, let it go!;
gtfo_BOD_title;Grant Bodoland Independence;Grant Bodoland Independence;
gtfo_BOD_desc;We've had a good run, but it's time to end our rulership of Bodoland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bodoland: if you love something, let it go!;
gtfo_CZE_title;Grant Bohemia Independence;Grant Bohemia Independence;
gtfo_CZE_desc;We've had a good run, but it's time to end our rulership of Bohemia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bohemia: if you love something, let it go!;
gtfo_BOL_title;Grant Bolivia Independence;Grant Bolivia Independence;
gtfo_BOL_desc;We've had a good run, but it's time to end our rulership of Bolivia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bolivia: if you love something, let it go!;
gtfo_BOP_title;Grant Bophuthatswana Independence;Grant Bophuthatswana Independence;
gtfo_BOP_desc;We've had a good run, but it's time to end our rulership of Bophuthatswana: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bophuthatswana: if you love something, let it go!;
gtfo_BIH_title;Grant Bosnia Independence;Grant Bosnia Independence;
gtfo_BIH_desc;We've had a good run, but it's time to end our rulership of Bosnia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bosnia: if you love something, let it go!;
gtfo_BOT_title;Grant Botswana Independence;Grant Botswana Independence;
gtfo_BOT_desc;We've had a good run, but it's time to end our rulership of Botswana: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Botswana: if you love something, let it go!;
gtfo_BOU_title;Grant Bougainville Independence;Grant Bougainville Independence;
gtfo_BOU_desc;We've had a good run, but it's time to end our rulership of Bougainville: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bougainville: if you love something, let it go!;
gtfo_BRI_title;Grant Brittany Independence;Grant Brittany Independence;
gtfo_BRI_desc;We've had a good run, but it's time to end our rulership of Brittany: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Brittany: if you love something, let it go!;
gtfo_BRN_title;Grant Burundi Independence;Grant Burundi Independence;
gtfo_BRN_desc;We've had a good run, but it's time to end our rulership of Burundi: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Burundi: if you love something, let it go!;
gtfo_BRT_title;Grant Barotseland Independence;Grant Barotseland Independence;
gtfo_BRT_desc;We've had a good run, but it's time to end our rulership of Barotseland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Barotseland: if you love something, let it go!;
gtfo_BRU_title;Grant Brunei Independence;Grant Brunei Independence;
gtfo_BRU_desc;We've had a good run, but it's time to end our rulership of Brunei: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Brunei: if you love something, let it go!;
gtfo_BRZ_title;Grant Brazil Independence;Grant Brazil Independence;
gtfo_BRZ_desc;We've had a good run, but it's time to end our rulership of Brazil: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Brazil: if you love something, let it go!;
gtfo_BSR_title;Grant Basra Independence;Grant Basra Independence;
gtfo_BSR_desc;We've had a good run, but it's time to end our rulership of Basra: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Basra: if you love something, let it go!;
gtfo_BUF_title;Grant Burkina Faso Independence;Grant Burkina Faso Independence;
gtfo_BUF_desc;We've had a good run, but it's time to end our rulership of Burkina Faso: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Burkina Faso: if you love something, let it go!;
gtfo_BUL_title;Grant Bulgaria Independence;Grant Bulgaria Independence;
gtfo_BUL_desc;We've had a good run, but it's time to end our rulership of Bulgaria: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bulgaria: if you love something, let it go!;
gtfo_MMR_title;Grant Burma Independence;Grant Burma Independence;
gtfo_MMR_desc;We've had a good run, but it's time to end our rulership of Burma: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Burma: if you love something, let it go!;
gtfo_BUY_title;Grant Buryatia Independence;Grant Buryatia Independence;
gtfo_BUY_desc;We've had a good run, but it's time to end our rulership of Buryatia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Buryatia: if you love something, let it go!;
gtfo_BYE_title;Grant Belarus Independence;Grant Belarus Independence;
gtfo_BYE_desc;We've had a good run, but it's time to end our rulership of Belarus: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Belarus: if you love something, let it go!;
gtfo_CAM_title;Grant Cambodia Independence;Grant Cambodia Independence;
gtfo_CAM_desc;We've had a good run, but it's time to end our rulership of Cambodia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Cambodia: if you love something, let it go!;
gtfo_CAN_title;Grant Canada Independence;Grant Canada Independence;
gtfo_CAN_desc;We've had a good run, but it's time to end our rulership of Canada: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Canada: if you love something, let it go!;
gtfo_CAR_title;Grant Central African Republic Independence;Grant Central African Republic Independence;
gtfo_CAR_desc;We've had a good run, but it's time to end our rulership of Central African Republic: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Central African Republic: if you love something, let it go!;
gtfo_CAT_title;Grant Catalonia Independence;Grant Catalonia Independence;
gtfo_CAT_desc;We've had a good run, but it's time to end our rulership of Catalonia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Catalonia: if you love something, let it go!;
gtfo_CBA_title;Grant Cabinda Independence;Grant Cabinda Independence;
gtfo_CBA_desc;We've had a good run, but it's time to end our rulership of Cabinda: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Cabinda: if you love something, let it go!;
gtfo_CHA_title;Grant Chad Independence;Grant Chad Independence;
gtfo_CHA_desc;We've had a good run, but it's time to end our rulership of Chad: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Chad: if you love something, let it go!;
gtfo_CHC_title;Grant Chechnya Independence;Grant Chechnya Independence;
gtfo_CHC_desc;We've had a good run, but it's time to end our rulership of Chechnya: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Chechnya: if you love something, let it go!;
gtfo_CHI_title;Grant China Independence;Grant China Independence;
gtfo_CHI_desc;We've had a good run, but it's time to end our rulership of China: if you love something, let it go!;We've had a good run, but it's time to end our rulership of China: if you love something, let it go!;
gtfo_CHL_title;Grant Chile Independence;Grant Chile Independence;
gtfo_CHL_desc;We've had a good run, but it's time to end our rulership of Chile: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Chile: if you love something, let it go!;
gtfo_CHS_title;Grant Chin State Independence;Grant Chin State Independence;
gtfo_CHS_desc;We've had a good run, but it's time to end our rulership of Chin State: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Chin State: if you love something, let it go!;
gtfo_CHU_title;Grant Chuvashia Independence;Grant Chuvashia Independence;
gtfo_CHU_desc;We've had a good run, but it's time to end our rulership of Chuvashia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Chuvashia: if you love something, let it go!;
gtfo_CIR_title;Grant Circassia Independence;Grant Circassia Independence;
gtfo_CIR_desc;We've had a good run, but it's time to end our rulership of Circassia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Circassia: if you love something, let it go!;
gtfo_CIS_title;Grant Ciskei Independence;Grant Ciskei Independence;
gtfo_CIS_desc;We've had a good run, but it's time to end our rulership of Ciskei: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ciskei: if you love something, let it go!;
gtfo_CLM_title;Grant Colombia Independence;Grant Colombia Independence;
gtfo_CLM_desc;We've had a good run, but it's time to end our rulership of Colombia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Colombia: if you love something, let it go!;
gtfo_CMR_title;Grant Cameroon Independence;Grant Cameroon Independence;
gtfo_CMR_desc;We've had a good run, but it's time to end our rulership of Cameroon: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Cameroon: if you love something, let it go!;
gtfo_COD_title;Grant Congo Free State Independence;Grant Congo Free State Independence;
gtfo_COD_desc;We've had a good run, but it's time to end our rulership of Congo Free State: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Congo Free State: if you love something, let it go!;
gtfo_COI_title;Grant Cook Islands Independence;Grant Cook Islands Independence;
gtfo_COI_desc;We've had a good run, but it's time to end our rulership of Cook Islands: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Cook Islands: if you love something, let it go!;
gtfo_COM_title;Grant Comoros Independence;Grant Comoros Independence;
gtfo_COM_desc;We've had a good run, but it's time to end our rulership of Comoros: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Comoros: if you love something, let it go!;
gtfo_COR_title;Grant Corsica Independence;Grant Corsica Independence;
gtfo_COR_desc;We've had a good run, but it's time to end our rulership of Corsica: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Corsica: if you love something, let it go!;
gtfo_COS_title;Grant Costa Rica Independence;Grant Costa Rica Independence;
gtfo_COS_desc;We've had a good run, but it's time to end our rulership of Costa Rica: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Costa Rica: if you love something, let it go!;
gtfo_CPV_title;Grant Cape Verde Independence;Grant Cape Verde Independence;
gtfo_CPV_desc;We've had a good run, but it's time to end our rulership of Cape Verde: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Cape Verde: if you love something, let it go!;
gtfo_CRI_title;Grant Crimea Independence;Grant Crimea Independence;
gtfo_CRI_desc;We've had a good run, but it's time to end our rulership of Crimea: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Crimea: if you love something, let it go!;
gtfo_CRO_title;Grant Croatia Independence;Grant Croatia Independence;
gtfo_CRO_desc;We've had a good run, but it's time to end our rulership of Croatia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Croatia: if you love something, let it go!;
gtfo_CSA_title;Grant CSA Independence;Grant CSA Independence;
gtfo_CSA_desc;We've had a good run, but it's time to end our rulership of CSA: if you love something, let it go!;We've had a good run, but it's time to end our rulership of CSA: if you love something, let it go!;
gtfo_CSM_title;Grant Casamance Independence;Grant Casamance Independence;
gtfo_CSM_desc;We've had a good run, but it's time to end our rulership of Casamance: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Casamance: if you love something, let it go!;
gtfo_CUB_title;Grant Cuba Independence;Grant Cuba Independence;
gtfo_CUB_desc;We've had a good run, but it's time to end our rulership of Cuba: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Cuba: if you love something, let it go!;
gtfo_CUR_title;Grant Curacao Independence;Grant Curacao Independence;
gtfo_CUR_desc;We've had a good run, but it's time to end our rulership of Curacao: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Curacao: if you love something, let it go!;
gtfo_CYI_title;Grant Cayman Islands Independence;Grant Cayman Islands Independence;
gtfo_CYI_desc;We've had a good run, but it's time to end our rulership of Cayman Islands: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Cayman Islands: if you love something, let it go!;
gtfo_CYP_title;Grant Cyprus Independence;Grant Cyprus Independence;
gtfo_CYP_desc;We've had a good run, but it's time to end our rulership of Cyprus: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Cyprus: if you love something, let it go!;
gtfo_CZH_title;Grant Czechoslovakia Independence;Grant Czechoslovakia Independence;
gtfo_CZH_desc;We've had a good run, but it's time to end our rulership of Czechoslovakia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Czechoslovakia: if you love something, let it go!;
gtfo_DAG_title;Grant Dagestan Independence;Grant Dagestan Independence;
gtfo_DAG_desc;We've had a good run, but it's time to end our rulership of Dagestan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Dagestan: if you love something, let it go!;
gtfo_VNM_title;Grant Dai Viet Independence;Grant Dai Viet Independence;
gtfo_VNM_desc;We've had a good run, but it's time to end our rulership of Dai Viet: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Dai Viet: if you love something, let it go!;
gtfo_DAR_title;Grant Darfur Independence;Grant Darfur Independence;
gtfo_DAR_desc;We've had a good run, but it's time to end our rulership of Darfur: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Darfur: if you love something, let it go!;
gtfo_DDR_title;Grant East Germany Independence;Grant East Germany Independence;
gtfo_DDR_desc;We've had a good run, but it's time to end our rulership of East Germany: if you love something, let it go!;We've had a good run, but it's time to end our rulership of East Germany: if you love something, let it go!;
gtfo_DEN_title;Grant Denmark Independence;Grant Denmark Independence;
gtfo_DEN_desc;We've had a good run, but it's time to end our rulership of Denmark: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Denmark: if you love something, let it go!;
gtfo_DJI_title;Grant Djibouti Independence;Grant Djibouti Independence;
gtfo_DJI_desc;We've had a good run, but it's time to end our rulership of Djibouti: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Djibouti: if you love something, let it go!;
gtfo_DMC_title;Grant Dominica Independence;Grant Dominica Independence;
gtfo_DMC_desc;We've had a good run, but it's time to end our rulership of Dominica: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Dominica: if you love something, let it go!;
gtfo_DOM_title;Grant Dominican Republic Independence;Grant Dominican Republic Independence;
gtfo_DOM_desc;We've had a good run, but it's time to end our rulership of Dominican Republic: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Dominican Republic: if you love something, let it go!;
gtfo_DRA_title;Grant Dravidastan Independence;Grant Dravidastan Independence;
gtfo_DRA_desc;We've had a good run, but it's time to end our rulership of Dravidastan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Dravidastan: if you love something, let it go!;
gtfo_DYA_title;Grant Dyak Independence;Grant Dyak Independence;
gtfo_DYA_desc;We've had a good run, but it's time to end our rulership of Dyak: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Dyak: if you love something, let it go!;
gtfo_DZG_title;Grant Danzig Independence;Grant Danzig Independence;
gtfo_DZG_desc;We've had a good run, but it's time to end our rulership of Danzig: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Danzig: if you love something, let it go!;
gtfo_EAI_title;Grant Easter Island Independence;Grant Easter Island Independence;
gtfo_EAI_desc;We've had a good run, but it's time to end our rulership of Easter Island: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Easter Island: if you love something, let it go!;
gtfo_ECA_title;Grant East Caprivi Independence;Grant East Caprivi Independence;
gtfo_ECA_desc;We've had a good run, but it's time to end our rulership of East Caprivi: if you love something, let it go!;We've had a good run, but it's time to end our rulership of East Caprivi: if you love something, let it go!;
gtfo_ECU_title;Grant Ecuador Independence;Grant Ecuador Independence;
gtfo_ECU_desc;We've had a good run, but it's time to end our rulership of Ecuador: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ecuador: if you love something, let it go!;
gtfo_EGY_title;Grant Egypt Independence;Grant Egypt Independence;
gtfo_EGY_desc;We've had a good run, but it's time to end our rulership of Egypt: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Egypt: if you love something, let it go!;
gtfo_EID_title;Grant East Indonesia Independence;Grant East Indonesia Independence;
gtfo_EID_desc;We've had a good run, but it's time to end our rulership of East Indonesia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of East Indonesia: if you love something, let it go!;
gtfo_ELS_title;Grant El Salvador Independence;Grant El Salvador Independence;
gtfo_ELS_desc;We've had a good run, but it's time to end our rulership of El Salvador: if you love something, let it go!;We've had a good run, but it's time to end our rulership of El Salvador: if you love something, let it go!;
gtfo_GBR_title;Grant United Kingdom Independence;Grant United Kingdom Independence;
gtfo_GBR_desc;We've had a good run, but it's time to end our rulership of United Kingdom: if you love something, let it go!;We've had a good run, but it's time to end our rulership of United Kingdom: if you love something, let it go!;
gtfo_EQG_title;Grant Equatorial Guinea Independence;Grant Equatorial Guinea Independence;
gtfo_EQG_desc;We've had a good run, but it's time to end our rulership of Equatorial Guinea: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Equatorial Guinea: if you love something, let it go!;
gtfo_ERI_title;Grant Eritrea Independence;Grant Eritrea Independence;
gtfo_ERI_desc;We've had a good run, but it's time to end our rulership of Eritrea: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Eritrea: if you love something, let it go!;
gtfo_EST_title;Grant Estonia Independence;Grant Estonia Independence;
gtfo_EST_desc;We've had a good run, but it's time to end our rulership of Estonia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Estonia: if you love something, let it go!;
gtfo_ETH_title;Grant Ethiopia Independence;Grant Ethiopia Independence;
gtfo_ETH_desc;We've had a good run, but it's time to end our rulership of Ethiopia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ethiopia: if you love something, let it go!;
gtfo_ETS_title;Grant East Turkestan Independence;Grant East Turkestan Independence;
gtfo_ETS_desc;We've had a good run, but it's time to end our rulership of East Turkestan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of East Turkestan: if you love something, let it go!;
gtfo_EUS_title;Grant Basque Country Independence;Grant Basque Country Independence;
gtfo_EUS_desc;We've had a good run, but it's time to end our rulership of Basque Country: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Basque Country: if you love something, let it go!;
gtfo_FAR_title;Grant Faroe Islands Independence;Grant Faroe Islands Independence;
gtfo_FAR_desc;We've had a good run, but it's time to end our rulership of Faroe Islands: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Faroe Islands: if you love something, let it go!;
gtfo_FER_title;Grant Far Eastern Republic Independence;Grant Far Eastern Republic Independence;
gtfo_FER_desc;We've had a good run, but it's time to end our rulership of Far Eastern Republic: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Far Eastern Republic: if you love something, let it go!;
gtfo_FEZ_title;Grant Fezzan Independence;Grant Fezzan Independence;
gtfo_FEZ_desc;We've had a good run, but it's time to end our rulership of Fezzan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Fezzan: if you love something, let it go!;
gtfo_FIJ_title;Grant Fiji Independence;Grant Fiji Independence;
gtfo_FIJ_desc;We've had a good run, but it's time to end our rulership of Fiji: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Fiji: if you love something, let it go!;
gtfo_FIN_title;Grant Finland Independence;Grant Finland Independence;
gtfo_FIN_desc;We've had a good run, but it's time to end our rulership of Finland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Finland: if you love something, let it go!;
